Number of vertices:
33
SOURCE DESTINATION WEIGHT
0 8 3
1 3 7
2 0 5
3 1 7
3 22 5
3 27 6
4 21 8
5 4 6
5 6 8
5 21 4
6 4 7
6 7 3
7 1 5
7 6 3
7 8 9
8 7 9
8 12 11
9 12 9
10 12 11
11 10 7
11 13 4
12 9 9
12 10 11
13 0 7
13 11 4
13 24 11
14 17 7
14 19 4
15 17 6
15 28 11
16 17 9
16 27 9
17 14 7
17 15 6
17 16 9
18 16 8
19 14 4
19 20 4
20 18 6
20 31 1
21 5 4
22 4 7
22 17 3
23 30 9
24 13 11
24 26 5
25 28 6
25 32 1
26 24 5
26 30 14
27 3 6
27 16 9
27 26 3
27 2 14
28 15 11
28 25 6
28 29 7
30 26 14
30 29 7
31 32 5
32 23 11
32 25 1
32 31 5
